Id,Location,CoverType,StartDate ,EndDate,PolicyTenure,NetPremium,Action,VehicleType,Status
5000314,Kilifi,PRIVATE TOR,31-Mar-20,31-Mar-24,4,750,EXTEND,PRIVATE,ACTIVE
5000315,Kilifi,PRIVATE TOR,7-Mar-20,6-Apr-24,4,750,EXTEND,PRIVATE,ACTIVE
5000316,Kilifi,PRIVATE TOR,29-Feb-20,28-Mar-24,4,750,EXTEND,PRIVATE,ACTIVE
5000317,Kilifi,PRIVATE TOR,28-Feb-20,27-Mar-24,4,750,EXTEND,PRIVATE,ACTIVE
5000318,Kilifi,PRIVATE TOR,26-Feb-20,25-Mar-24,4,0,EXTEND,PRIVATE,NOT ACTIVE 
5000319,Kilifi,PRIVATE TOR,26-Feb-20,25-Mar-24,4,750,EXTEND,PRIVATE,ACTIVE
5000320,Kilifi,PRIVATE TPO,26-Feb-20,25-Feb-25,4,3881,EXTEND,PRIVATE,ACTIVE
5000321,Kilifi,PRIVATE TOR,22-Feb-20,21-Mar-24,5,750,EXTEND,PRIVATE,ACTIVE
5000322,Kilifi,PRIVATE TOR,22-Feb-20,21-Mar-24,4,750,EXTEND,PRIVATE,ACTIVE
5000323,Kilifi,PRIVATE COMPREHENSIVE,23-Feb-20,22-Feb-25,4,5154,EXTEND,PRIVATE,ACTIVE
5000324,Kilifi,PRIVATE TOR,16-Feb-20,15-Mar-24,5,750,EXTEND,PRIVATE,ACTIVE
5000325,Kilifi,PRIVATE TPO,15-Feb-20,14-Feb-25,4,3881,EXTEND,PRIVATE,ACTIVE
5000326,Kilifi,PSV TPO TAXI,14-Feb-20,13-Feb-25,5,4387,EXTEND,PRIVATE,ACTIVE
5000327,Kilifi,PRIVATE TPO,14-Feb-20,13-Feb-25,5,3881,EXTEND,COMMERCIAL,ACTIVE
5000328,Kilifi,COMMERCIAL TPO OWN GOODS,18-Mar-20,17-Mar-25,5,4150,EXTEND,PRIVATE,ACTIVE
5000329,Kilifi,PRIVATE TOR,18-Mar-20,17-Apr-24,5,750,EXTEND,PRIVATE,ACTIVE
5000330,Kilifi,PRIVATE TPO,16-Mar-20,15-Mar-25,4,3881,EXTEND,PRIVATE,ACTIVE
5000331,Kilifi,PRIVATE TPO,16-Mar-20,15-Mar-25,5,3881,EXTEND,PRIVATE,ACTIVE
5000332,Kilifi,PRIVATE TPO,16-Mar-20,15-Mar-25,5,3881,EXTEND,PRIVATE,ACTIVE
5000333,Kilifi,PRIVATE TOR,15-Mar-20,14-Apr-24,5,750,EXTEND,PRIVATE,ACTIVE
5000334,Kilifi,PRIVATE TOR,15-Mar-20,14-Apr-24,4,750,EXTEND,PRIVATE,ACTIVE
5000335,Kilifi,COMMERCIAL TPO OWN GOODS,15-Mar-20,14-Mar-25,4,4150,EXTEND,COMMERCIAL,ACTIVE
5000336,Kilifi,PSV TPO TAXI,16-Mar-20,15-Mar-25,5,4387,EXTEND,COMMERCIAL,ACTIVE
5000337,Kilifi,PRIVATE TPO ,14-Mar-20,13-Mar-25,5,3881,EXTEND,PRIVATE,ACTIVE
5000338,Kilifi,COMMERCIAL TOR OWN GOODS,12-Mar-20,11-Apr-24,5,750,EXTEND,COMMERCIAL,ACTIVE
5000339,Kilifi,PRIVATE TOR,12-Mar-20,11-Apr-24,4,750,EXTEND,PRIVATE,ACTIVE
5000340,Kilifi,PRIVATE TOR,12-Mar-20,11-Apr-24,4,750,EXTEND,PRIVATE,ACTIVE
5000341,Kilifi,PRIVATE TOR,11-Mar-20,10-Apr-24,4,750,EXTEND,PRIVATE,ACTIVE
5000342,Kilifi,PRIVATE TPO,11-Mar-20,10-Mar-25,4,0,EXTEND,PRIVATE,NOT ACTIVE 
5000343,Kilifi,PRIVATE TOR,11-Mar-20,10-Apr-24,5,750,EXTEND,PRIVATE,ACTIVE
5000344,Kilifi,COMMERCIAL TPO GENERAL CARTAGE,27-Mar-20,26-Mar-25,4,4150,EXTEND,COMMERCIAL,ACTIVE
5000345,Kilifi,PRIVATE TPO,27-Mar-20,26-Mar-25,5,3881,EXTEND,PRIVATE,ACTIVE
5000346,Kilifi,PRIVATE TPO,27-Mar-20,26-Mar-25,5,3881,EXTEND,PRIVATE,ACTIVE
5000347,Kilifi,PRIVATE TPO,26-Mar-20,25-Mar-25,5,3881,EXTEND,PRIVATE,ACTIVE
5000348,Kilifi,PRIVATE TPO,26-Mar-20,25-Mar-25,5,3881,EXTEND,PRIVATE,ACTIVE
5000349,Kilifi,PRIVATE TOR,25-Mar-20,24-Apr-24,5,750,EXTEND,PRIVATE,ACTIVE
5000350,Kilifi,COMMERCIAL TOR GENERAL CARTAGE,24-Mar-20,23-Apr-24,4,750,EXTEND,COMMERCIAL,ACTIVE
5000351,Kilifi,PRIVATE TOR,24-Mar-20,23-Apr-24,4,750,EXTEND,PRIVATE,ACTIVE
5000352,Kilifi,PRIVATE TPO,23-Mar-20,22-Mar-25,4,1870,EXTEND,PRIVATE,ACTIVE
5000353,Kilifi,PRIVATE TOR,22-Mar-20,21-Apr-24,5,750,EXTEND,PRIVATE,ACTIVE
5000354,Kilifi,PRIVATE TOR,22-Mar-20,21-Apr-24,4,750,EXTEND,PRIVATE,ACTIVE
5000355,Kilifi,COMMERCIAL TPO GENERAL CARTAGE,21-Mar-20,20-Mar-25,4,4150,EXTEND,COMMERCIAL,ACTIVE
5000356,Kilifi,COMMERCIAL TPO OWN GOODS,21-Mar-20,20-Apr-24,5,4150,EXTEND,COMMERCIAL,ACTIVE
5000357,Kilifi,COMMERCIAL TOR GENERAL CARTAGE,21-Mar-20,20-Apr-24,4,750,EXTEND,COMMERCIAL,ACTIVE
5000358,Kilifi,COMMERCIAL TOR OWN GOODS,21-Mar-20,20-Apr-24,4,750,EXTEND,COMMERCIAL,ACTIVE
5000359,Kilifi,PRIVATE TOR,19-Mar-20,19-Mar-24,4,750,EXTEND,PRIVATE,ACTIVE
5000360,Kilifi,PRIVATE TOR,5-Apr-20,4-May-24,4,750,EXTEND,PRIVATE,ACTIVE
5000361,Kilifi,PRIVATE TOR,6-Apr-20,5-May-24,4,750,EXTEND,PRIVATE,ACTIVE
5000362,Kilifi,PRIVATE TOR,5-Apr-20,4-May-24,4,750,EXTEND,PRIVATE,ACTIVE
5000363,Kilifi,COMMERCIAL TOR OWN GOODS,4-Apr-20,3-May-24,4,750,EXTEND,COMMERCIAL,ACTIVE
5000364,Kilifi,PRIVATE TPO,4-Apr-20,3-Apr-25,4,3881,EXTEND,PRIVATE,ACTIVE
5000365,Kilifi,PRIVATE TOR,7-Apr-20,6-May-24,5,750,EXTEND,PRIVATE,ACTIVE
5000366,Kilifi,PRIVATE TOR,2-Apr-20,1-May-24,4,750,EXTEND,PRIVATE,ACTIVE
5000367,Kilifi,PRIVATE TOR,2-Apr-20,1-May-24,4,0,EXTEND,PRIVATE,ACTIVE
5000368,Kilifi,PSV TPO TAXI,1-Apr-20,31-Mar-25,4,4387,EXTEND,COMMERCIAL,ACTIVE
5000369,Kilifi,PRIVATE TPO,31-Mar-20,30-Mar-25,5,3881,EXTEND,PRIVATE,ACTIVE
5000370,Kilifi,PRIVATE TOR,31-Mar-20,30-Apr-24,5,750,EXTEND,PRIVATE,ACTIVE
5000371,Kilifi,PRIVATE TOR,30-Mar-20,29-Apr-24,4,750,EXTEND,PRIVATE,ACTIVE
5000372,Kilifi,PRIVATE TOR,30-Mar-20,29-Apr-24,4,750,EXTEND,PRIVATE,ACTIVE
5000373,Kilifi,PRIVATE TPO,29-Mar-20,28-Mar-25,4,3881,EXTEND,PRIVATE,ACTIVE
5000374,Kilifi,PRIVATE TOR,29-Mar-20,28-Apr-24,5,750,EXTEND,PRIVATE,ACTIVE
5000375,Kilifi,COMMERCIAL TPO OWN GOODS,28-Mar-20,27-Mar-25,4,0,EXTEND,COMMERCIAL,ACTIVE
5000376,Kilifi,PRIVATE TOR,11-Apr-20,10-May-24,5,750,EXTEND,PRIVATE,ACTIVE
5000377,Kilifi,PRIVATE COMPREHENSIVE,9-Apr-20,8-Apr-25,4,5329,EXTEND,PRIVATE,ACTIVE
5000378,Kilifi,PRIVATE TPO,9-Apr-20,8-Apr-25,5,1870,EXTEND,PRIVATE,ACTIVE
5000379,Kilifi,COMMERCIAL TOR OWN GOODS,9-Apr-20,8-May-24,5,750,EXTEND,COMMERCIAL,ACTIVE
5000380,Kilifi,PRIVATE TPO,9-Apr-20,8-May-24,4,0,EXTEND,PRIVATE,ACTIVE
5000381,Kilifi,PRIVATE TPO,9-Apr-20,8-Apr-25,4,3881,EXTEND,PRIVATE,ACTIVE
5000382,Kilifi,PRIVATE TPO,8-Apr-20,7-Apr-25,5,3881,EXTEND,PRIVATE,ACTIVE
5000383,Kilifi,COMMERCIAL TPO OWN GOODS,8-Apr-20,7-Apr-25,5,4150,EXTEND,COMMERCIAL,ACTIVE
5000384,Kilifi,PRIVATE COMPREHENSIVE,9-Apr-20,8-Apr-25,5,5209,EXTEND,PRIVATE,ACTIVE
5000385,Kilifi,PRIVATE TPO ,8-Apr-20,7-Apr-25,5,1870,EXTEND,PRIVATE,ACTIVE
5000386,Kilifi,COMMERCIAL TPO OWN GOODS,8-Apr-20,7-Apr-25,5,2784,EXTEND,COMMERCIAL,ACTIVE
5000387,Kilifi,PRIVATE TOR,7-Apr-20,7-May-24,5,750,EXTEND,PRIVATE,ACTIVE
5000388,Kilifi,PRIVATE TPO,7-Apr-20,6-Apr-25,4,3881,EXTEND,PRIVATE,ACTIVE
5000389,Kilifi,PRIVATE TOR,6-Apr-20,5-May-24,5,750,EXTEND,PRIVATE,ACTIVE
5000390,Kilifi,PRIVATE TOR,5-Apr-20,4-May-24,4,750,EXTEND,PRIVATE,ACTIVE
5000391,Kilifi,PRIVATE TOR,5-Apr-20,4-May-24,4,750,EXTEND,PRIVATE,ACTIVE
5000392,Kilifi,PSV TPO TAXI,16-Apr-20,15-Apr-25,4,0,EXTEND,COMMERCIAL,NOT ACTIVE 
5000393,Kilifi,COMMERCIAL TOR OWN GOODS,16-Apr-20,15-May-24,5,700,EXTEND,COMMERCIAL,ACTIVE
5000394,Kilifi,PRIVATE TPO,15-Apr-20,14-Apr-25,4,3881,EXTEND,PRIVATE,ACTIVE
5000395,Kilifi,PRIVATE TOR,15-Apr-20,14-May-24,5,700,EXTEND,PRIVATE,ACTIVE
5000396,Kilifi,PRIVATE TPO,14-Apr-20,13-Apr-25,4,3881,EXTEND,PRIVATE,ACTIVE
5000397,Kilifi,PRIVATE TOR,13-Apr-20,12-May-24,5,700,EXTEND,PRIVATE,ACTIVE
5000398,Kilifi,COMMERCIAL TPO OWN GOODS,13-Apr-20,12-Apr-25,4,4150,EXTEND,COMMERCIAL,ACTIVE
5000399,Kilifi,PRIVATE TPO,13-Apr-20,12-Apr-24,5,3881,EXTEND,PRIVATE,ACTIVE
5000400,Kilifi,PRIVATE TOR,12-Apr-20,11-May-24,4,700,EXTEND,PRIVATE,ACTIVE
5000401,Kilifi,COMMERCIAL TOR OWN GOODS,12-Apr-20,11-May-24,4,700,EXTEND,COMMERCIAL,ACTIVE
5000402,Kilifi,PRIVATE TPO,12-Apr-20,11-Apr-25,4,3881,EXTEND,PRIVATE,ACTIVE
5000403,Kilifi,PRIVATE TPO,12-Apr-20,11-Apr-25,5,3881,EXTEND,PRIVATE,ACTIVE
5000404,Kilifi,PRIVATE TOR,11-Apr-20,10-May-24,5,750,EXTEND,PRIVATE,ACTIVE
5000405,Kilifi,PRIVATE TOR,12-Apr-20,11-May-24,4,750,EXTEND,PRIVATE,ACTIVE
5000406,Kilifi,PRIVATE TOR,11-Apr-20,10-May-24,4,750,EXTEND,PRIVATE,ACTIVE
5000407,Kilifi,PRIVATE TOR,10-Apr-20,9-May-24,4,750,EXTEND,PRIVATE,ACTIVE
5000408,Kilifi,PRIVATE TPO,25-Apr-20,24-Apr-25,4,3881,EXTEND,PRIVATE,ACTIVE
5000409,Kilifi,COMMERCIAL TOR GENERAL CARTAGE,24-Apr-20,23-May-24,5,700,EXTEND,COMMERCIAL,ACTIVE
5000410,Kilifi,PRIVATE TOR,24-Apr-20,23-May-24,4,750,EXTEND,PRIVATE,ACTIVE
5000411,Kilifi,COMMERCIAL TOR OWN GOODS,24-Apr-20,23-May-24,4,700,EXTEND,COMMERCIAL,ACTIVE
5000412,Kilifi,PSV TPO TAXI,22-Apr-20,21-Apr-25,4,0,EXTEND,COMMERCIAL,NOT ACTIVE 
5000413,Kilifi,COMMERCIAL TOR OWN GOODS,22-Apr-20,21-May-24,5,700,EXTEND,COMMERCIAL,ACTIVE
5000414,Kilifi,COMMERCIAL TPO OWN GOODS,22-Apr-20,21-Apr-25,4,4150,EXTEND,COMMERCIAL,ACTIVE
5000415,Kilifi,PRIVATE TOR,22-Apr-20,21-May-24,5,750,EXTEND,PRIVATE,ACTIVE
5000416,Kilifi,COMMERCIAL TOR OWN GOODS,20-Apr-20,19-May-24,4,700,EXTEND,COMMERCIAL,ACTIVE
5000417,Kilifi,PRIVATE TPO,20-Apr-20,19-May-24,4,3881,EXTEND,PRIVATE,ACTIVE
5000418,Kilifi,PRIVATE TPO,19-Apr-20,19-Apr-25,4,700,EXTEND,PRIVATE,ACTIVE
